id,intent,text
179,Deny,nah
180,Deny,I disagree
181,Deny,doesn't work
182,Deny,nothing else
183,Deny,disagree
184,Deny,actually no
185,Deny,no that's wrong
186,Deny,nope sorry
187,Deny,apparently not
188,Deny,not this time
189,Deny,nothing
190,Deny,no maybe next time
191,Deny,I don't want
192,Deny,not that
193,Deny,nothing else thanks
194,Deny,no thank you
195,Deny,no not really
196,Deny,no do not
197,Deny,no that's ok
198,Deny,no leave it
199,Deny,how about no
200,Deny,no incorrect
201,Deny,I can't
202,Affirm,Thank you for taking the time to explain this.
203,Affirm,Thank you so much! I really appreciate it
204,Affirm,thank you so much for your assistance
205,Affirm,appreciate you
206,Affirm,okay thanks
207,Affirm,I appreciate your hard work and want you to know it doesn’t go unnoticed.
208,Affirm,thanks for helping me with my problem!
209,Affirm,thanks very much
210,Affirm,I really appreciate your help. Thank you.
211,Affirm,thanks for the help
212,Affirm,I appreciate what you did
213,Affirm,thanks i appreciate it
214,Affirm,Thank you for helping me with this issue
215,Affirm,thank you for your help i have no more question
216,Affirm,thanks for assisting me with this
217,Affirm,Thanks!!
218,Affirm,awesome thanks
219,Affirm,i appreciate it
220,Affirm,Thanks a lot for your help – I couldn’t have done it without you!
221,Affirm,thanks a lot
222,Affirm,truly appreciate you
223,Affirm,Thanks for your attention on the matter.
224,Affirm,thanks
225,Affirm,appreciate it
226,Affirm,great thank you
227,Affirm,okay thank you
228,Affirm,Thank you for your time today.
229,Affirm,that is helpful thank you for your help today
230,Affirm,all set thank you
231,Affirm,Thank you for always going above and beyond
232,Affirm,thanks again
233,Affirm,Thanks.
234,Affirm,thank you good stuff
235,Affirm,You’re the sweetest! Thank you for everything you do!
236,Affirm,"im relieved you helped me with this, thanks a lot"
237,Affirm,Thank you very much for the help
238,Affirm,you were wonderful thanks
239,Affirm,It’s a rare thing to find someone as generous and kind as you. Thank you.
240,Affirm,"Thank you for taking the time to help me, it really meant a lot."
241,Affirm,I am so thankful for what you did.
242,Affirm,thank you for your help with this
243,Affirm,thanks so much for your help
244,Affirm,thanks for the help
245,Affirm,i apricate your help
246,Affirm,i appreciate your help
247,Affirm,thanks for the help
248,Affirm,i apricate your help
249,Affirm,"thank you for helping me, i don't know about this stuff"
250,Affirm,i apricate everything you've done today
251,Affirm,i apricate it
252,Affirm,i apricate everything you've done
253,Affirm,i apricate everything you've done
254,Affirm,okay
255,Affirm,yes
256,Affirm,Yes that would be great
257,Affirm,yea
258,Affirm,ok
259,Affirm,ok!
260,Affirm,okay!
261,Affirm,alrightie
262,Affirm,confirm
263,Affirm,why not
264,Affirm,I'm sure
265,Affirm,yes I would like to confirm
266,Affirm,yeah exactly
267,Affirm,yeah thanks
268,Affirm,confirmed
269,Affirm,yes I agree
270,Affirm,okay I will
271,Affirm,indeed it was
272,Affirm,that'd be wonderful
273,Affirm,ok thanks
274,Affirm,ok you can
275,Affirm,awesome
276,Affirm,that is ok
277,Affirm,oh yes
278,Affirm,okay that's
279,Affirm,yes definitely
280,Affirm,yes that's alright
281,Affirm,you did indeed
282,Affirm,ya
283,Affirm,sure thanks
284,Affirm,that's okay
285,Affirm,yes that's
286,Affirm,right
287,Affirm,sure why not
288,Affirm,do it
289,Affirm,all right
290,Affirm,sounds correct
291,Affirm,alright
292,Affirm,alright thanks
293,Affirm,I don't mind
294,Affirm,yes correct
295,Affirm,it is correct
296,Affirm,sweet
297,Affirm,yes that was helpful
298,Affirm,yes you can do it
299,Affirm,definitely
300,Affirm,yes you may
301,Affirm,yes right
302,Affirm,aight
303,Affirm,ok appreciate it
304,Affirm,that one works
305,Affirm,cool
306,Affirm,yep that's right
307,Affirm,sure thing
308,Affirm,I think so
309,Affirm,yeah that's right
310,Affirm,yes indeed
311,Affirm,sure did
312,Affirm,okay then
313,Affirm,yes you did
314,Affirm,sg
315,Affirm,it's okay
316,Affirm,yes i would appreciate that
317,Affirm,ok go ahead
318,Affirm,obviously
319,Affirm,ok
320,Affirm,good
321,Affirm,ok yes
322,Affirm,okey
323,Affirm,yep that's ok
324,Affirm,that's correct
325,Affirm,for sure
326,Affirm,looks correct
327,Affirm,yes please
328,Affirm,alrighty
329,Affirm,that works
330,Affirm,yeah that resolved my concern
331,Affirm,yes I do
332,Affirm,yeah that resolved my issue
333,Affirm,yes thank you
334,Affirm,go ahead
335,Affirm,sounds good thanks
336,Affirm,yeah of course
337,Affirm,affirmative
338,Affirm,it's surely useful
339,Affirm,yup thank you
340,Affirm,I do
341,Affirm,please do
342,Affirm,yup
343,Affirm,I guess
344,Affirm,got it thanks
345,Affirm,of course why not
346,Affirm,yes this is correct
347,Affirm,perfect
348,Affirm,okie dokie
349,Affirm,cool thanks
350,Affirm,yeah i appreciate it
351,Affirm,yes it is
352,Affirm,that was helpful
353,Affirm,okay sounds
354,Affirm,sounds good
355,Affirm,it's fine
356,Affirm,yeah go ahead
357,Affirm,exactly
358,Affirm,amazing
359,Affirm,ok thank you
360,Affirm,That's great
361,Affirm,it looks perfect
362,Affirm,I agree
363,Affirm,yes I can
364,Affirm,k
365,Affirm,alright why not
366,Affirm,yeah i have all my answers
367,Affirm,fine
368,Affirm,sure works for me
369,Affirm,yeah
370,Affirm,yeah right
371,Affirm,yeah sure
372,Affirm,go for it
373,Affirm,this is correct
374,Affirm,yes much appreciated
375,Affirm,yeah file it
376,Affirm,"i would, thank you"
377,Affirm,"alright, please do"
378,Affirm,please
379,Affirm,please do
380,Affirm,"yes, i need to"
381,Affirm,"i would, thank you"
382,Affirm,"yes, please"
383,Affirm,i will
384,Affirm,"yes, please that would be great"
385,Affirm,yes please
386,Affirm,"yes, please do"
387,Affirm,"ok, please do"
388,Affirm,i do
389,Affirm,"yes, i need to"
390,Affirm,i would appreciate that
391,Affirm,"yes, and it worked!"
392,Affirm,"i'm in it now, it worked for me"
393,Affirm,"yep, it worked"
394,Affirm,"i did, it worked well"
395,Affirm,"i'm using it, and it worked"
396,Affirm,"yes, worked perfectly"
397,Affirm,"yes, it worked perfectly"
