dialog_act,utterances,split,actor
requestforinstruction,How may I assist?,train,Agent
requestforinstruction,is that everything?,train,Agent
requestforinstruction,what do you need today?,train,Agent
requestforinstruction,any more?,train,Agent
requestforinstruction,What is the task,train,Agent
requestforinstruction,What should I get first?,train,Agent
requestforinstruction,What's the task?,train,Agent
requestforinstruction,what shall i do?,train,Agent
requestforinstruction,What am I   doing?,train,Agent
requestforinstruction,or where,train,Agent
requestforinstruction,What can i do for you,train,Agent
requestforinstruction,The task?,train,Agent
requestforinstruction,How can I help you today?,train,Agent
requestforinstruction,what would you like in it?,train,Agent
requestforinstruction,what's the task?,train,Agent
requestforinstruction,First task please,train,Agent
requestforinstruction,shall i clean the mug first?,train,Agent
requestforinstruction,net,train,Agent
requestforinstruction,tomato?,train,Agent
requestforinstruction,more lettuce?,train,Agent
requestforinstruction,please give me instrucitons,train,Agent
requestforinstruction,what are my directions?,train,Agent
requestforinstruction,Now what?,train,Agent
requestforinstruction,What would you like me to do next,train,Agent
requestforinstruction,What can I do for you?,train,Agent
requestforinstruction,Please write me all the instructions,train,Agent
requestforinstruction,netxt,train,Agent
requestforinstruction,what is my directions?,train,Agent
requestforinstruction,What is next?,train,Agent
requestforinstruction,what work can i do for you?,train,Agent
requestforinstruction,I am ready,train,Agent
requestforinstruction,what is next?,train,Agent
requestforinstruction,what should I do ?,train,Agent
requestforinstruction,what are my directions,train,User
requestforinstruction,what would you like done?,train,Agent
requestforinstruction,next/,train,Agent
requestforinstruction,next thing please,train,Agent
requestforinstruction,am i done,train,Agent
requestforinstruction,What is the first task,train,Agent
requestforinstruction,What now?,train,Agent
requestforinstruction,What's the task,train,Agent
requestforinstruction,how can I help?,train,User
requestforinstruction,what can we do today,train,Agent
requestforinstruction,next task,train,Agent
requestforinstruction,what's first?,train,Agent
requestforinstruction,what's that?,train,Agent
requestforinstruction,What shall I be doing today?,train,Agent
requestforinstruction,what shall i do,train,Agent
requestforinstruction,?,train,Agent
requestforinstruction,what is my task please,train,Agent
requestforinstruction,next please,train,Agent
requestforinstruction,Do we need to clean plate?,train,Agent
requestforinstruction,what are we doing today,train,Agent
requestforinstruction,what is task today?,train,Agent
requestforinstruction,what should I do next?,train,Agent
requestforinstruction,What should I do?,train,Agent
requestforinstruction,where should I place it?,train,Agent
requestforinstruction,Please provide directions,train,Agent
requestforinstruction,What can I help with?,train,Agent
requestforinstruction,What next,train,Agent
requestforinstruction,What are we doing next,train,Agent
requestforinstruction,What exactly  do we need to do?,train,Agent
requestforinstruction,how do i change,train,Agent
requestforinstruction,then,train,Agent
requestforinstruction,that all,train,Agent
requestforinstruction,what do you need?,train,Agent
requestforinstruction,what's next?,train,Agent
requestforinstruction,??,train,Agent
requestforinstruction,how may i help?,train,Agent
requestforinstruction,what is my task today,train,Agent
requestforinstruction,Are there any more,train,Agent
requestforinstruction,What exactly is the task?,train,Agent
requestforinstruction,how can i help today?,train,Agent
requestforinstruction,how can I assist you?,train,Agent
requestforinstruction,anything else?,train,Agent
requestforinstruction,What can I do,train,Agent
requestforinstruction,what is task?,train,Agent
requestforinstruction,is that all of them?,train,Agent
requestforinstruction,What may I do for you?,train,Agent
requestforinstruction,Hi what should I do today?,train,Agent
requestforinstruction,Okay what should I do next,train,Agent
requestforinstruction,Whats is the task,train,Agent
requestforinstruction,is there another plate,train,Agent
requestforinstruction,nxt,train,Agent
requestforinstruction,how many slices of potato do you like?,train,Agent
requestforinstruction,shall I put them all on a plate or bow?,train,Agent
requestforinstruction,What should i do today?,train,Agent
requestforinstruction,what should I do today>,train,Agent
requestforinstruction,", what is my direction?",train,Agent
requestforinstruction,anyone there?,train,Agent
requestforinstruction,Whats the task?,train,Agent
requestforinstruction,What is the task in hand,train,Agent
requestforinstruction,whats next,train,Agent
requestforinstruction,Hello what is my task?,train,Agent
requestforinstruction,what first,train,Agent
requestforinstruction,now,train,Agent
requestforinstruction,my job today,train,Agent
requestforinstruction,"Hello, what shall I   be doing today?",train,Agent
requestforinstruction,What is my first task today?,train,Agent
requestforinstruction,What else?,train,Agent
requestforinstruction,what is the task today,train,Agent
requestforinstruction,What's the exact task?,train,Agent
requestforinstruction,what is my first task,train,Agent
requestforinstruction,"What am I doing today, please?",train,Agent
requestforinstruction,"What do I do next, please?",train,Agent
requestforinstruction,What do I do next?,train,Agent
requestforinstruction,What is my task,train,Agent
requestforinstruction,How may I assist you today?,train,Agent
requestforinstruction,hi what can i do today,train,Agent
requestforinstruction,what is my first task?,train,Agent
requestforinstruction,how can i be of assistance?,train,Agent
requestforinstruction,Where should I put the plate?,train,Agent
requestforinstruction,What's the next task?,train,Agent
requestforinstruction,what is task,train,Agent
requestforinstruction,How can i help?,train,Agent
requestforinstruction,What can I do today?,train,Agent
requestforinstruction,What should I do today>,train,Agent
requestforinstruction,"Hi, what can I   do?",train,Agent
requestforinstruction,"done, next",train,Agent
requestforinstruction,what shall I do next?,train,Agent
requestforinstruction,What should I do for you today?,train,Agent
requestforinstruction,What is my first task ),train,Agent
requestforinstruction,on it,train,Agent
requestforinstruction,task,train,Agent
requestforinstruction,"Okay, where should I start?",train,Agent
requestforinstruction,task please?,train,Agent
requestforinstruction,how can i be of assistance,train,Agent
requestforinstruction,is there anything else?,train,Agent
requestforinstruction,how can i help out today?,train,Agent
requestforinstruction,can i help?,train,Agent
requestforinstruction,what can i do?,train,Agent
requestforinstruction,what can i help with today?,train,Agent
requestforinstruction,my job,train,Agent
requestforinstruction,What is our first task ),train,Agent
requestforinstruction,what can i get you?,train,Agent
requestforinstruction,What can  I do today,train,Agent
requestforinstruction,what i need to do,train,Agent
requestforinstruction,What do I do?,train,Agent
requestforinstruction,What can I do for you today?,train,Agent
requestforinstruction,what is your bidding?,train,Agent
requestforinstruction,What should we do today?,train,Agent
requestforinstruction,Ay tasks for me?,train,Agent
requestforinstruction,can I do anything else?,train,Agent
requestforinstruction,Now?,train,Agent
requestforinstruction,how may i serve you today?,train,Agent
requestforinstruction,what is the first step?,train,Agent
requestforinstruction,task plase,train,Agent
requestforinstruction,what is the task today please,train,Agent
requestforinstruction,First task,train,Agent
requestforinstruction,Knife foun d,train,Agent
requestforinstruction,Hi what would you like me to do today,train,Agent
requestforinstruction,Hello! What may I do for you today?,train,Agent
requestforinstruction,ok now what,train,Agent
requestforinstruction,What shall I  do today?,train,Agent
requestforinstruction,what can I do after that?,train,Agent
requestforinstruction,"hi, what can i help with?",train,Agent
requestforinstruction,What do I need to do?,train,Agent
requestforinstruction,What is the issue? Can I help?,train,Agent
requestforinstruction,what shall do today,train,Agent
requestforinstruction,what shall i do next,train,Agent
requestforinstruction,My first task please ),train,Agent
requestforinstruction,how can i help you today?,train,Agent
requestforinstruction,what should we do today,train,Agent
requestforinstruction,How can I assist you?,train,Agent
requestforinstruction,what shoud I do first?,train,Agent
requestforinstruction,What should I do tody?,train,Agent
requestforinstruction,how can i help you today,train,Agent
requestforinstruction,What should I do,train,Agent
requestforinstruction,next task please,train,Agent
requestforinstruction,What is your bidding?,train,Agent
requestforinstruction,Which task first?,train,Agent
requestforinstruction,which dish first?,train,Agent
requestforinstruction,How are we beginning?,train,Agent
requestforinstruction,ingredients please,train,Agent
requestforinstruction,what are we doing?,train,Agent
requestforinstruction,Now what do I do,train,Agent
requestforinstruction,what is remaining,train,Agent
requestforinstruction,Ready for task directions please,train,Agent
requestforinstruction,hello whats my task,train,Agent
requestforinstruction,where is the next,train,Agent
requestforinstruction,how can I Help today?,train,Agent
requestforinstruction,what is the task to be completed?,train,Agent
requestforinstruction,what can i do next,train,Agent
requestforinstruction,First Task?,train,Agent
requestforinstruction,What shpuld I do today?,train,Agent
requestforinstruction,What can I   do for you today?,train,Agent
requestforinstruction,how many slices of tomato would you like in it,train,Agent
requestforinstruction,how can i serve you today/,train,Agent
requestforinstruction,First atsk?,train,Agent
requestforinstruction,*Task,train,Agent
requestforinstruction,What shall I   be doing today?,train,Agent
requestforinstruction,I am ready to help,train,Agent
requestforinstruction,what else can i do?,train,Agent
requestforinstruction,How can i help today?,train,Agent
requestforinstruction,what am I doing today,train,Agent
requestforinstruction,What's to do?,train,Agent
requestforinstruction,I need to know what to wash,train,Agent
requestforinstruction,done what else can i do,train,Agent
requestforinstruction,What is my task please?,train,Agent
requestforinstruction,task???,train,Agent
requestforinstruction,what can I help you with today?,train,Agent
requestforinstruction,What's my first task?,train,Agent
requestforinstruction,whats my first task,train,Agent
requestforinstruction,what should  I do today?,train,Agent
requestforinstruction,next??,train,Agent
requestforinstruction,What is my task today?,train,Agent
requestforinstruction,What's my task for today?,train,Agent
requestforinstruction,"Hello, what is my directions?",train,Agent
requestforinstruction,What is my first task?m,train,Agent
requestforinstruction,what am I doing?,train,Agent
requestforinstruction,what can I assist with?,train,Agent
requestforinstruction,how can i help you,train,Agent
requestforinstruction,what should I do with the lettuce,train,Agent
requestforinstruction,What do you need today?,train,Agent
requestforinstruction,what is my ask,train,Agent
requestforinstruction,thx next plz,train,Agent
requestforinstruction,done?,train,Agent
requestforinstruction,what's my task?,train,Agent
requestforinstruction,Is that it?,train,Agent
requestforinstruction,what shall i do next?,train,Agent
requestforinstruction,What task can I do?,train,Agent
requestforinstruction,what should I do today,train,Agent
requestforinstruction,How may I help,train,Agent
requestforinstruction,What can i do for you?,train,Agent
requestforinstruction,Whats the next step,train,Agent
requestforinstruction,Whats next,train,Agent
requestforinstruction,Whats next?,train,Agent
requestforinstruction,what should i today?,train,Agent
requestforinstruction,What am i doing today,train,Agent
requestforinstruction,what do i do next?,train,Agent
requestforinstruction,what can i help you with?,train,Agent
requestforinstruction,did it work?,train,Agent
requestforinstruction,How can I help you?,train,Agent
requestforinstruction,What can I do next?,train,Agent
requestforinstruction,what can i do,train,Agent
requestforinstruction,now what,train,Agent
requestforinstruction,how do i toast the bread,train,Agent
requestforinstruction,what should i do next,train,Agent
requestforinstruction,"I have potato, cook in microwave?",train,Agent
requestforinstruction,Ok. Now what?,train,Agent
requestforinstruction,Now what.,train,Agent
requestforinstruction,What is the first task?,train,Agent
requestforinstruction,what are we doing,train,Agent
requestforinstruction,Task?,train,Agent
requestforinstruction,what can i do for you,train,Agent
requestforinstruction,then?,train,Agent
requestforinstruction,What tasks do I today?,train,Agent
requestforinstruction,What tasks should I do today,train,Agent
requestforinstruction,what shall I do today,train,Agent
requestforinstruction,What should I do today,train,Agent
requestforinstruction,whats the first step,train,Agent
requestforinstruction,what can I do today,train,Agent
requestforinstruction,where is the next one please,train,Agent
requestforinstruction,hi what shall i do today,train,Agent
requestforinstruction,What  can I do for you?,train,Agent
requestforinstruction,what should I put on the plate?,train,Agent
requestforinstruction,what should i put on the plate,train,Agent
requestforinstruction,another what?,train,Agent
requestforinstruction,what needs to go on the plate,train,Agent
requestforinstruction,i don't know what the task is,train,Agent
requestforinstruction,What's first,train,Agent
requestforinstruction,what can we do today,train,User
requestforinstruction,What are we doing today?,train,Agent
requestforinstruction,Please direct me commander,train,Agent
requestforinstruction,I need directions,train,Agent
requestforinstruction,Now what do I do?,train,Agent
requestforinstruction,what shall i do today,train,Agent
requestforinstruction,What should i do?,train,Agent
requestforinstruction,what do I use to water the plant?,train,Agent
requestforinstruction,what can i for you today?,train,Agent
requestforinstruction,",my task",train,Agent
requestforinstruction,Is there something I can do today for you?,train,Agent
requestforinstruction,what are my directions,train,Agent
requestforinstruction,what is the task,train,Agent
requestforinstruction,Is there another one?,train,Agent
requestforinstruction,What's my first step?,train,Agent
requestforinstruction,"hi, how can i help?",train,Agent
requestforinstruction,First task please?,train,Agent
requestforinstruction,Search again please,train,Agent
requestforinstruction,ok where is that dirty plate,train,Agent
requestforinstruction,what is next,train,Agent
requestforinstruction,how may i assist you,train,Agent
requestforinstruction,'just tell me the task?,train,Agent
requestforinstruction,what should I get first?,train,Agent
requestforinstruction,Hi! What can I do for you today?,train,Agent
requestforinstruction,nexxt,train,Agent
requestforinstruction,What am I doing?,train,Agent
requestforinstruction,next task?,train,Agent
requestforinstruction,what are the steps?,train,Agent
requestforinstruction,ok what next?,train,Agent
requestforinstruction,Hi what would you like me to do today?,train,Agent
requestforinstruction,what do i need to do?,train,Agent
requestforinstruction,what can i do for u?,train,Agent
requestforinstruction,what i am se3arching for?,train,Agent
requestforinstruction,what should i do next5?,train,Agent
requestforinstruction,next.\,train,Agent
requestforinstruction,Aything else?,train,Agent
requestforinstruction,how can help,train,Agent
requestforinstruction,Great how/where do we start,train,Agent
requestforinstruction,how canI help?,train,Agent
requestforinstruction,what can I do,train,Agent
requestforinstruction,what Do I need,train,Agent
requestforinstruction,What can I do today,train,Agent
requestforinstruction,first task,train,Agent
requestforinstruction,what shall I   be doing today?,train,Agent
requestforinstruction,What is my first task please?,train,Agent
requestforinstruction,"Next task, please?",train,Agent
requestforinstruction,Next task?,train,Agent
requestforinstruction,Do we need to clean the plate?,train,Agent
requestforinstruction,what you want from me?,train,Agent
requestforinstruction,what is the next task?,train,Agent
requestforinstruction,Commander?,train,Agent
requestforinstruction,what is the task today?,train,Agent
requestforinstruction,What task do I do today?,train,Agent
requestforinstruction,hi what is my first task,train,Agent
requestforinstruction,what work can i help with today?,train,Agent
requestforinstruction,ok what do i use,train,Agent
requestforinstruction,what task today,train,Agent
requestforinstruction,how may i best serve you today master?,train,Agent
requestforinstruction,What can I do first?,train,Agent
requestforinstruction,then what?,train,Agent
requestforinstruction,?task,train,Agent
requestforinstruction,is there another task by chance?,train,Agent
requestforinstruction,what I am I doing tonight,train,Agent
requestforinstruction,what are my tasks,train,Agent
requestforinstruction,what shall i do today.,train,Agent
requestforinstruction,where can i find bread,train,Agent
requestforinstruction,What should I do first?,train,Agent
requestforinstruction,Where do I go from here?,train,Agent
requestforinstruction,Good?,train,Agent
requestforinstruction,What do I need to do with it?,train,Agent
requestforinstruction,Any luck?,train,Agent
requestforinstruction,Hi may I have the directions please,train,Agent
requestforinstruction,"now what, back to plate?",train,Agent
requestforinstruction,what is the next step?,train,Agent
requestforinstruction,whats the next step,train,Agent
requestforinstruction,should I cook or boil the potato?,train,Agent
requestforinstruction,how can i assist you,train,Agent
requestforinstruction,Where should i start>,train,Agent
requestforinstruction,What shall I do for you today?,train,Agent
requestforinstruction,Hi how can I help?,train,Agent
requestforinstruction,done next,train,Agent
requestforinstruction,what should i do for today,train,Agent
requestforinstruction,task ppz,train,Agent
requestforinstruction,what do you need help with today?,train,Agent
requestforinstruction,what ca i do today,train,Agent
requestforinstruction,where is the bread please,train,Agent
requestforinstruction,How can I help,train,User
requestforinstruction,how may i serve you?,train,Agent
requestforinstruction,where is the knife?,train,Agent
requestforinstruction,Would you please let me know when they are cooked?,train,Agent
requestforinstruction,what shold i do today,train,Agent
requestforinstruction,hello task plz,train,Agent
requestforinstruction,can you direct me to first one,train,Agent
requestforinstruction,What is tableware?,train,Agent
requestforinstruction,my assignment please,train,Agent
requestforinstruction,Next task please,train,Agent
requestforinstruction,What's the first task?,train,Agent
requestforinstruction,What is next please,train,Agent
requestforinstruction,What would you like me to do?,train,Agent
requestforinstruction,Are we done?,train,Agent
requestforinstruction,what shou;d i do?,train,Agent
requestforinstruction,What do I need to do today?,train,Agent
requestforinstruction,what do I need to do?,train,Agent
requestforinstruction,What shall I   do today?,train,Agent
requestforinstruction,Do I   NEED TO ADD WATER AND COFFEE GROUNDS TO MACHINE?,train,Agent
requestforinstruction,What do you need me to do?,train,Agent
requestforinstruction,What would you like me to do now?,train,Agent
requestforinstruction,how may i hlep?,train,Agent
requestforinstruction,you tell me,train,Agent
requestforinstruction,more?,train,Agent
requestforinstruction,what do i do next,train,Agent
requestforinstruction,my task today please,train,Agent
requestforinstruction,next thing,train,Agent
requestforinstruction,what Im I doing today,train,Agent
requestforinstruction,What help do you need today?,train,Agent
requestforinstruction,how can i assist you today?,train,Agent
requestforinstruction,What next for the day,train,Agent
requestforinstruction,Is there another task,train,Agent
requestforinstruction,whats the task,train,Agent
requestforinstruction,What's next,train,Agent
requestforinstruction,next one?,train,Agent
requestforinstruction,What's my first task for today,train,Agent
requestforinstruction,"Hi, how may I help you today?",train,Agent
requestforinstruction,what's my tsak,train,Agent
requestforinstruction,whats my tasktoday,train,Agent
requestforinstruction,what shoud I do,train,Agent
requestforinstruction,where can I find a knife?,train,Agent
requestforinstruction,What is first?,train,Agent
requestforinstruction,How do I shut off the water?,train,Agent
requestforinstruction,What is the first step with the sandwich?,train,Agent
requestforinstruction,waht do i do next,train,Agent
requestforinstruction,where should I start?,train,Agent
requestforinstruction,What would you like me to do today?,train,Agent
requestforinstruction,what can I get for you?,train,Agent
requestforinstruction,Hello! What should I do today?,train,Agent
requestforinstruction,What should I do today?,train,User
requestforinstruction,what else can i do for you,train,Agent
requestforinstruction,Now was,train,Agent
requestforinstruction,what,train,Agent
requestforinstruction,What is my task?,train,User
requestforinstruction,You tell me the task.,train,Agent
requestforinstruction,what nexxt,train,Agent
requestforinstruction,Next task,train,Agent
requestforinstruction,what else shall i do,train,Agent
requestforinstruction,next im ahead of you,train,Agent
requestforinstruction,next plz,train,Agent
requestforinstruction,hi how can i help?,train,Agent
requestforinstruction,waht next,train,Agent
requestforinstruction,tomato maybe?,train,Agent
requestforinstruction,or plate,train,Agent
requestforinstruction,Hi how can I help you?,train,Agent
requestforinstruction,what would you like in the salad?,train,Agent
requestforinstruction,Hows that?,train,Agent
requestforinstruction,what would you like?,train,Agent
requestforinstruction,Commanfer?,train,Agent
instruction,today we need to make a plate of toast,train,User
instruction,open the drawer,train,User
instruction,choose any and slice 1 please,train,User
instruction,then take a slice of bread,train,User
instruction,and toast it,train,User
instruction,put back in fridge or on counter,train,User
instruction,please take and place on the counter,train,User
instruction,the toasted slice of bread,train,User
instruction,goes on the plate,train,User
instruction,can you please make coffee?,train,User
instruction,Today we are going to clean the bowls.,train,User
instruction,Slice the lettuce,train,User
instruction,Next slice the tomato in the microwave,train,User
instruction,Next slice the tomato on the cja=hir,train,User
instruction,Sorry Chair.,train,User
instruction,needs to be sliced,train,User
instruction,1 slice needs to be cooked.,train,User
instruction,Now retrieve the plate from the fride for assembly.,train,User
instruction,Now place 1 slice of lettuce on the plate,train,User
instruction,Now 2 slices of tomato,train,User
instruction,boil a potato please,train,User
instruction,lets find the newspaper and put on one piece of furniture,train,User
instruction,Please make two slices of lettuce,train,User
instruction,Great job task done. Now we need to clean the plate,train,User
instruction,Now the lettuce needs to be put on the plate,train,User
instruction,You have to clean all the cloths,train,User
instruction,make potato slices,train,User
instruction,sorry tomato slices,train,User
instruction,put 2 slices on a clean plate,train,User
instruction,u are making a salad,train,User
instruction,make a slice of lettuce twice,train,User
instruction,cook a slice of potato with aknife,train,User
instruction,one slice,train,User
instruction,then cook the sliced potato,train,User
instruction,place all salad components on a plate,train,User
instruction,lettuce and potato,train,User
instruction,Please cook a potato in the microwave,train,User
instruction,Please slice it and put 3 slices in clean bowl,train,User
instruction,You sadly may have to cook another potato and cut it so you can get the tiny end piece to fit in bowl,train,User
instruction,rinse the dirty clothe,train,User
instruction,to the left,train,User
instruction,take out the bread,train,User
instruction,now take the knife from the drawer,train,User
instruction,slice the bread,train,User
instruction,then toast it in the toaster,train,User
instruction,now place the toast onto a plate,train,User
instruction,take out the plate,train,User
instruction,place the toast onto it,train,User
instruction,lets make a salad,train,User
instruction,fisrt slice letuce,train,User
instruction,slice potato and cook 1 slice,train,User
instruction,rinse the dirty plate,train,User
instruction,remove the bottle,train,User
instruction,"put 2 slices lettuce, 1 potato on the clean plate",train,User
instruction,lets make 2 slice of toast,train,User
instruction,make a slice of one lettuce,train,User
instruction,make a slice of  one tomato,train,User
instruction,all sanwich components need to be on plate,train,User
instruction,The remote controls need to be put onto a table.,train,User
instruction,clean all mugs,train,User
instruction,you need to clean all the  pots,train,User
instruction,Could you make a salad? Please start by slicing lettuce.,train,User
instruction,"Next, slice a tomato. We will need 2 slices.",train,User
instruction,Please place 2 slices tomato and 1 slice lettuce on a clean plate.,train,User
instruction,please boil a potato in water,train,User
instruction,we have to make a salad,train,User
instruction,one slice tomato on plate,train,User
instruction,slices lettuce on plate,train,User
instruction,2 slices,train,User
instruction,i need my plant watered,train,User
instruction,today you need to slice a tomato,train,User
instruction,clean a plate,train,User
instruction,place the tomato slice on the plate,train,User
instruction,Pickup a knife and slice a tomato,train,User
instruction,now you need to slice the potato,train,User
instruction,cook the potato now,train,User
instruction,put the potato slices inside the pan and into the stove,train,User
instruction,turn on the stove,train,User
instruction,you need to cook two sliced potato,train,User
instruction,put all salad component on a playe,train,User
instruction,plate*,train,User
instruction,tomato and que cooked potatoes,train,User
instruction,put all the remote controls on one chair,train,User
instruction,check the drawers under the TV,train,User
instruction,Put on the chair near the dining table,train,User
instruction,put all remote control on any chair,train,User
instruction,can you prepare coffee in a clean mug,train,User
instruction,PLease place the alarm clock on the bed,train,User
instruction,Can you please make a slice of toast?,train,User
instruction,you can use the plate close to the bread for the toasted slice,train,User
instruction,there are 2 plates that needs to be clean,train,User
instruction,We need to clean the plate,train,User
instruction,Now we need too clean pan,train,User
instruction,i need you to slice some lettuce on a plate for me,train,User
instruction,please could you put the lettuce on that plate for me,train,User
instruction,Start with a cup of cofffee,train,User
instruction,Make a plate with one piece of toast,train,User
instruction,Now cook 2 slices of potato and put on plate,train,User
instruction,will need slice of apple too,train,User
instruction,Now just the toast on the plate,train,User
instruction,"Today, we'll be cleaning the cloths in the bathroom.",train,User
instruction,You'll need to rinse the dirty cloths with water.,train,User
instruction,could you boil a potato please?,train,User
instruction,could you please put the lettuce in the fridge,train,User
instruction,please try and remove some items,train,User
instruction,make a sandwich please,train,User
instruction,get bread from next to the sink and slice it,train,User
