id,intent,text
204,thanks,thank you so much for your assistance
205,thanks,appreciate you
206,thanks,okay thanks
207,thanks,I appreciate your hard work and want you to know it doesn’t go unnoticed.
208,thanks,thanks for helping me with my problem!
209,thanks,thanks very much
210,thanks,I really appreciate your help. Thank you.
211,thanks,thanks for the help
212,thanks,I appreciate what you did
213,thanks,thanks i appreciate it
214,thanks,Thank you for helping me with this issue
215,thanks,thank you for your help i have no more question
216,thanks,thanks for assisting me with this
217,thanks,Thanks!!
218,thanks,awesome thanks
219,thanks,i appreciate it
220,thanks,Thanks a lot for your help – I couldn’t have done it without you!
221,thanks,thanks a lot
222,thanks,truly appreciate you
223,thanks,Thanks for your attention on the matter.
224,thanks,thanks
225,thanks,appreciate it
226,thanks,great thank you
227,thanks,okay thank you
228,thanks,Thank you for your time today.
229,thanks,that is helpful thank you for your help today
230,thanks,all set thank you
231,thanks,Thank you for always going above and beyond
232,thanks,thanks again
233,thanks,Thanks.
234,thanks,thank you good stuff
235,thanks,You’re the sweetest! Thank you for everything you do!
236,thanks,"im relieved you helped me with this, thanks a lot"
237,thanks,Thank you very much for the help
238,thanks,you were wonderful thanks
239,thanks,It’s a rare thing to find someone as generous and kind as you. Thank you.
240,thanks,"Thank you for taking the time to help me, it really meant a lot."
241,thanks,I am so thankful for what you did.
242,thanks,thank you for your help with this
243,thanks,thanks so much for your help
244,thanks,thanks for the help
245,thanks,i apricate your help
246,thanks,i appreciate your help
247,thanks,thanks for the help
248,thanks,i apricate your help
249,thanks,"thank you for helping me, i don't know about this stuff"
250,thanks,i apricate everything you've done today
251,thanks,i apricate it
252,thanks,i apricate everything you've done
253,thanks,i apricate everything you've done
254,yes,okay
255,yes,yes
256,yes,Yes that would be great
257,yes,yea
258,yes,ok
259,yes,ok!
260,yes,okay!
261,yes,alrightie
262,yes,confirm
263,yes,why not
264,yes,I'm sure
265,yes,yes I would like to confirm
266,yes,yeah exactly
267,yes,yeah thanks
268,yes,confirmed
269,yes,yes I agree
270,yes,okay I will
271,yes,indeed it was
272,yes,that'd be wonderful
273,yes,ok thanks
274,yes,ok you can
275,yes,awesome
276,yes,that is ok
277,yes,oh yes
278,yes,okay that's
279,yes,yes definitely
280,yes,yes that's alright
281,yes,you did indeed
282,yes,ya
283,yes,sure thanks
284,yes,that's okay
285,yes,yes that's
286,yes,right
287,yes,sure why not
288,yes,do it
289,yes,all right
290,yes,sounds correct
291,yes,alright
292,yes,alright thanks
293,yes,I don't mind
294,yes,yes correct
295,yes,it is correct
296,yes,sweet
297,yes,yes that was helpful
298,yes,yes you can do it
299,yes,definitely
300,yes,yes you may
301,yes,yes right
302,yes,aight
303,yes,ok appreciate it
304,yes,that one works
305,yes,cool
306,yes,yep that's right
307,yes,sure thing
308,yes,I think so
309,yes,yeah that's right
310,yes,yes indeed
311,yes,sure did
312,yes,okay then
313,yes,yes you did
314,yes,sg
315,yes,it's okay
316,yes,yes i would appreciate that
317,yes,ok go ahead
318,yes,obviously
319,yes,ok
320,yes,good
321,yes,ok yes
322,yes,okey
323,yes,yep that's ok
324,yes,that's correct
325,yes,for sure
326,yes,looks correct
327,yes,yes please
328,yes,alrighty
329,yes,that works
330,yes,yeah that resolved my concern
331,yes,yes I do
332,yes,yeah that resolved my issue
333,yes,yes thank you
334,yes,go ahead
335,yes,sounds good thanks
336,yes,yeah of course
337,yes,affirmative
338,yes,it's surely useful
339,yes,yup thank you
340,yes,I do
341,yes,please do
342,yes,yup
343,yes,I guess
344,yes,got it thanks
345,yes,of course why not
346,yes,yes this is correct
347,yes,perfect
348,yes,okie dokie
349,yes,cool thanks
350,yes,yeah i appreciate it
351,yes,yes it is
352,yes,that was helpful
353,yes,okay sounds
354,yes,sounds good
355,yes,it's fine
356,yes,yeah go ahead
357,yes,exactly
358,yes,amazing
359,yes,ok thank you
360,yes,That's great
361,yes,it looks perfect
362,yes,I agree
363,yes,yes I can
364,yes,k
365,yes,alright why not
366,yes,yeah i have all my answers
367,yes,fine
368,yes,sure works for me
369,yes,yeah
370,yes,yeah right
371,yes,yeah sure
372,yes,go for it
373,yes,this is correct
374,yes,yes much appreciated
375,yes,yeah file it
376,yes,"i would, thank you"
377,yes,"alright, please do"
378,yes,please
379,yes,please do
380,yes,"yes, i need to"
381,yes,"i would, thank you"
382,yes,"yes, please"
383,yes,i will
384,yes,"yes, please that would be great"
385,yes,yes please
386,yes,"yes, please do"
387,yes,"ok, please do"
388,yes,i do
389,yes,"yes, i need to"
390,yes,i would appreciate that
391,yes,"yes, and it worked!"
392,yes,"i'm in it now, it worked for me"
393,yes,"yep, it worked"
394,yes,"i did, it worked well"
395,yes,"i'm using it, and it worked"
396,yes,"yes, worked perfectly"
397,yes,"yes, it worked perfectly"
